0.000,0.000,0.830,-0.503,-0.605,-0.704,1864.63,358.9018,1.508,-0.453,-0.027,0.234,0.23,0.272,0.268,0.014,0.01,-574.649439,1.458726,117.391,118.69,40.796,108.269,-0.27977,-0.0082,1.97435,-0.72302,1.97439,1.97335,-0.58341,-0.58614,0.27157,-0.584775
0.000,0.000,0.832,-0.512,-0.607,-0.700,1860.98,395.7279,1.508,-0.322,-0.046,0.249,0.235,0.332,0.268,0.048,0.011,-574.649347,3.207537,116.286333,118.796,40.707,106.758,-0.28267,-0.00963,1.97404,-0.71976,1.97414,1.97077,-0.57933,-0.58117,0.27304,-0.58025
0.000,0.000,0.831,-0.505,-0.605,-0.702,1864.70,354.7873,1.508,-0.34,-0.044,0.236,0.23,0.299,0.253,0.016,0.011,-499.434359,1.919513,111.922333,114.777,37.877,105.794,-0.29621,-0.00779,1.97413,-0.72394,1.97423,1.97262,-0.58363,-0.58722,0.28842,-0.585425
0.000,0.000,0.830,-0.503,-0.607,-0.700,1862.37,334.5579,1.508,-0.314,-0.027,0.236,0.23,0.292,0.256,0.018,0.009,-648.670272,1.664839,115.943667,107.945,39.757,105.687,-0.27255,-0.00851,1.97501,-0.72678,1.97549,1.97067,-0.58519,-0.58987,0.26404,-0.58753
0.000,0.000,0.831,-0.503,-0.606,-0.699,1864.26,340.6037,1.508,-0.281,-0.015,0.239,0.232,0.301,0.187,0.018,0.01,-780.896383,1.27332,93.278333,75.066,29.645,93.269,-0.29915,-0.00839,1.97515,-0.72864,1.97592,1.96838,-0.58709,-0.593,0.29076,-0.590045
0.003,0.090,0.827,-0.516,-0.599,-0.703,1870.31,263.2214,1.511,-0.296,0.016,0.243,0.242,0.168,0.101,0.023,-0.002,-917.827559,1.659637,199.641,165.926,61.608,130.209,-0.29028,-0.04782,1.9774,-0.74656,1.97036,1.95561,-0.5856,-0.79993,0.24246,-0.692765
0.000,0.000,0.832,-0.512,-0.601,-0.709,1866.80,377.3773,1.508,-0.43,-0.061,0.237,0.233,0.361,0.137,0.024,0.015,-499.434565,1.941629,110.478667,114.91,37.642,99.61,-0.29987,-0.00886,1.97364,-0.72545,1.97408,1.97186,-0.58424,-0.59067,0.29101,-0.587455
0.000,0.000,0.830,-0.505,-0.604,-0.702,1864.75,361.0153,1.508,-0.399,-0.037,0.236,0.231,0.286,0.252,0.015,0.009,-897.62568,0.807323,137.044333,116.599,42.918,113.334,-0.26383,-0.009,1.97381,-0.72544,1.97387,1.97346,-0.58618,-0.58938,0.25483,-0.58778
0.000,0.000,0.814,-0.488,-0.606,-0.701,1863.42,358.8679,1.508,-0.361,-0.058,0.229,0.223,0.278,0.245,0.018,0.009,-613.757994,1.688491,149.899333,127.62,43.389,107.08,-0.27497,-0.02202,1.97322,-0.72223,1.96788,1.97365,-0.57247,-0.59002,0.25295,-0.581245
0.000,0.000,0.819,-0.459,-0.609,-0.702,1862.49,341.9501,1.508,-0.483,-0.041,0.229,0.224,0.292,0.25,0.017,0.006,-668.143671,2.434175,139.443,133.367,46.586,116.88,-0.27998,-0.01576,1.97054,-0.72301,1.97188,1.96764,-0.5807,-0.58679,0.26422,-0.583745
0.004,0.160,0.829,-0.521,-0.599,-0.702,1869.46,364.5420,1.504,-0.463,-0.046,0.242,0.236,0.319,0.261,0.016,0.01,-613.755354,1.801397,147.666333,127.725,43.368,105.537,-0.27555,-0.02528,1.98171,-0.72626,1.96695,1.96649,-0.58088,-0.58697,0.25027,-0.583925
0.000,0.000,0.832,-0.506,-0.601,-0.706,1867.42,409.5724,1.508,-0.428,-0.015,0.238,0.233,0.215,0.206,0.021,0.012,-1549.523178,2.876961,265.833333,213.162,83.947,162.473,-0.26818,-0.04208,1.97425,-0.76676,1.9746,1.97143,-0.59152,-0.60778,0.2261,-0.59965
0.000,0.000,0.830,-0.506,-0.603,-0.702,1864.77,365.5579,1.508,-0.462,-0.053,0.237,0.231,0.294,0.238,0.016,0.009,-691.165972,1.719664,174.009333,150.425,50.754,119.37,-0.28243,-0.01614,1.97353,-0.7262,1.97414,1.97259,-0.58662,-0.59017,0.26629,-0.588395
0.001,0.010,0.830,-0.506,-0.601,-0.702,1866.97,354.6463,1.509,-0.377,-0.048,0.238,0.232,0.288,0.235,0.018,0.014,-919.734296,1.929756,113.898,91.112,35.591,102.68,-0.30396,-0.01163,1.97349,-0.73181,1.97457,1.97242,-0.59305,-0.5969,0.29233,-0.594975
0.006,0.360,0.823,-0.498,-0.609,-0.698,1862.88,302.5992,1.502,-0.206,-0.041,0.247,0.245,0.26,0.247,0.038,0.036,-975.377083,1.161056,233.387667,196.418,69.789,145.673,-0.26369,-0.02399,1.98299,-0.73899,1.96648,1.96598,-0.58748,-0.58806,0.2397,-0.58777
0.006,0.360,0.827,-0.525,-0.589,-0.698,1877.18,271.7621,1.514,-0.316,0.024,0.259,0.256,0.204,0.185,0.049,0.032,-956.350022,3.038172,99.513333,73.814,46.429,115.5,-0.32726,-0.02073,1.97522,-0.74744,1.96727,1.96291,-0.61315,-0.61569,0.30653,-0.61442
0.001,0.010,0.810,-0.471,-0.603,-0.705,1865.44,383.6268,1.509,-0.566,-0.083,0.233,0.228,0.265,0.2,0.026,0.012,-1496.021938,3.851462,287.885333,218.301,86.615,165.791,-0.27554,-0.06076,1.96982,-130.57116,1.96601,1.96293,-0.61011,-0.69898,0.21478,-0.654545
0.004,0.160,0.827,-0.507,-0.588,-0.703,1874.91,368.0774,1.512,-0.379,-0.065,0.241,0.238,-0.278,-0.246,0.026,0.025,-1134.298354,2.65595,124.870333,107.168,56.733,139.93,-0.34436,-0.03559,1.97154,-0.74337,1.97527,1.97123,-0.6093,-0.61117,0.30877,-0.610235
0.001,0.010,0.845,-0.487,-0.617,-0.715,1858.12,373.2198,1.509,-0.653,-0.055,0.226,0.225,0.166,0.085,0.025,0.013,-578.056614,1.65779,136.770333,151.246,47.532,110.183,-0.28627,-0.0091,1.96893,-3.3867,1.97133,1.96605,-0.56406,-0.67027,0.27717,-0.617165
0.011,1.210,0.805,-0.292,-0.592,-0.685,1873.38,402.4963,1.519,-0.449,0.321,0.24,0.238,0.41,0.307,0.028,0.018,-454.098805,2.058282,77.551667,77.435,27.52,91.055,-0.29433,-0.01529,1.98007,-0.75316,1.97431,1.96568,-0.62614,-0.62688,0.27904,-0.62651
0.006,0.360,0.836,-0.328,-0.600,-0.713,1864.98,372.7216,1.514,0.152,0.004,0.228,0.228,0.249,0.249,-0.008,-0.008,-499.431231,1.859008,110.110667,115.057,37.399,100.076,-0.30689,-0.00902,1.9693,-0.71706,1.96934,1.96934,-0.57141,-0.57141,0.29787,-0.57141
0.007,0.490,0.835,-0.328,-0.595,-0.713,1867.51,361.8629,1.515,0.169,-0.009,0.229,0.229,0.316,0.316,-0.004,-0.004,-3073.075475,3.034749,133.739,109.564,41.618,109.99,-0.30269,-0.01263,1.96893,-0.72351,1.96965,1.96965,-0.57932,-0.57932,0.29006,-0.57932
0.003,0.090,0.831,-0.318,-0.610,-0.708,1859.83,322.4726,1.505,0.824,-0.042,0.22,0.22,0.481,0.481,-0.015,-0.015,-424.433474,1.833245,86.952,122.45,32.543,90.955,-0.34882,-0.00743,1.97701,-0.72081,1.96278,1.96278,-0.56638,-0.56638,0.34139,-0.56638
0.002,0.040,0.825,-0.499,-0.613,-0.702,1861.72,284.5819,1.506,-0.302,-0.025,0.236,0.228,0.309,0.106,0.015,0.001,-2999.271051,2.022787,112.552,131.132,40.974,113.483,-0.32726,-0.00826,1.98289,-0.72788,1.97148,1.96256,-0.58045,-0.58261,0.319,-0.58153
0.005,0.250,0.816,-0.305,-0.612,-0.688,1864.07,258.9704,1.503,-0.232,0.261,0.237,0.237,0.325,0.325,0.007,0.007,-628.832838,2.254375,123.487667,114.888,40.803,104.274,-0.31852,-0.01785,1.98208,-0.75403,1.96689,1.96689,-0.60572,-0.60572,0.30067,-0.60572
0.000,0.000,0.830,-0.507,-0.603,-0.702,1864.69,690.8859,1.508,-0.485,-0.05,0.237,0.231,0.298,0.232,0.018,0.013,-688.022175,0.670301,129.053333,126.62,46.56,122.209,-0.30623,-0.01183,1.973595,-0.728115,1.9744,1.97243,-0.58871,-0.59233,0.2944,-0.59052
0.011,1.210,0.803,-0.324,-0.585,-0.691,1876.28,265.1259,1.519,0.071,0.296,0.242,0.242,0.151,0.151,0.004,0.004,-5607.406121,0.958408,144.735667,85.523,39.912,112.112,-0.30608,-0.039,1.97536,-0.76471,1.97593,1.97593,-0.62864,-0.62864,0.26708,-0.62864
