-0.503,-0.453,-0.027,0.234,0.23,0.272,0.268,0.014,0.01,-0.27977,-0.0082,1.97435,-0.72302,-0.58341,-0.58614,0,0.27157
-0.512,-0.322,-0.046,0.249,0.235,0.332,0.268,0.048,0.011,-0.28267,-0.00963,1.97404,-0.71976,-0.57933,-0.58117,0,0.27304
-0.505,-0.34,-0.044,0.236,0.23,0.299,0.253,0.016,0.011,-0.29621,-0.00779,1.97413,-0.72394,-0.58363,-0.58722,0,0.28842
-0.503,-0.314,-0.027,0.236,0.23,0.292,0.256,0.018,0.009,-0.27255,-0.00851,1.97501,-0.72678,-0.58519,-0.58987,0,0.26404
-0.503,-0.281,-0.015,0.239,0.232,0.301,0.187,0.018,0.01,-0.29915,-0.00839,1.97515,-0.72864,-0.58709,-0.593,0,0.29076
-0.516,-0.296,0.016,0.243,0.242,0.168,0.101,0.023,-0.002,-0.29028,-0.04782,1.9774,-0.74656,-0.5856,-0.79993,0.003,0.24246
-0.512,-0.43,-0.061,0.237,0.233,0.361,0.137,0.024,0.015,-0.29987,-0.00886,1.97364,-0.72545,-0.58424,-0.59067,0,0.29101
-0.505,-0.399,-0.037,0.236,0.231,0.286,0.252,0.015,0.009,-0.26383,-0.009,1.97381,-0.72544,-0.58618,-0.58938,0,0.25483
-0.488,-0.361,-0.058,0.229,0.223,0.278,0.245,0.018,0.009,-0.27497,-0.02202,1.97322,-0.72223,-0.57247,-0.59002,0,0.25295
-0.459,-0.483,-0.041,0.229,0.224,0.292,0.25,0.017,0.006,-0.27998,-0.01576,1.97054,-0.72301,-0.5807,-0.58679,0,0.26422
-0.521,-0.463,-0.046,0.242,0.236,0.319,0.261,0.016,0.01,-0.27555,-0.02528,1.98171,-0.72626,-0.58088,-0.58697,0.004,0.25027
-0.506,-0.428,-0.015,0.238,0.233,0.215,0.206,0.021,0.012,-0.26818,-0.04208,1.97425,-0.76676,-0.59152,-0.60778,0,0.2261
-0.506,-0.462,-0.053,0.237,0.231,0.294,0.238,0.016,0.009,-0.28243,-0.01614,1.97353,-0.7262,-0.58662,-0.59017,0,0.26629
-0.506,-0.377,-0.048,0.238,0.232,0.288,0.235,0.018,0.014,-0.30396,-0.01163,1.97349,-0.73181,-0.59305,-0.5969,0.001,0.29233
-0.498,-0.206,-0.041,0.247,0.245,0.26,0.247,0.038,0.036,-0.26369,-0.02399,1.98299,-0.73899,-0.58748,-0.58806,0.006,0.2397
-0.525,-0.316,0.024,0.259,0.256,0.204,0.185,0.049,0.032,-0.32726,-0.02073,1.97522,-0.74744,-0.61315,-0.61569,0.006,0.30653
-0.471,-0.566,-0.083,0.233,0.228,0.265,0.2,0.026,0.012,-0.27554,-0.06076,1.96982,-130.57116,-0.61011,-0.69898,0.001,0.21478
-0.507,-0.379,-0.065,0.241,0.238,-0.278,-0.246,0.026,0.025,-0.34436,-0.03559,1.97154,-0.74337,-0.6093,-0.61117,0.004,0.30877
-0.487,-0.653,-0.055,0.226,0.225,0.166,0.085,0.025,0.013,-0.28627,-0.0091,1.96893,-3.3867,-0.56406,-0.67027,0.001,0.27717
-0.292,-0.449,0.321,0.24,0.238,0.41,0.307,0.028,0.018,-0.29433,-0.01529,1.98007,-0.75316,-0.62614,-0.62688,0.011,0.27904
-0.328,0.152,0.004,0.228,0.228,0.249,0.249,-0.008,-0.008,-0.30689,-0.00902,1.9693,-0.71706,-0.57141,-0.57141,0.006,0.29787
-0.328,0.169,-0.009,0.229,0.229,0.316,0.316,-0.004,-0.004,-0.30269,-0.01263,1.96893,-0.72351,-0.57932,-0.57932,0.007,0.29006
-0.318,0.824,-0.042,0.22,0.22,0.481,0.481,-0.015,-0.015,-0.34882,-0.00743,1.97701,-0.72081,-0.56638,-0.56638,0.003,0.34139
-0.499,-0.302,-0.025,0.236,0.228,0.309,0.106,0.015,0.001,-0.32726,-0.00826,1.98289,-0.72788,-0.58045,-0.58261,0.002,0.319
-0.305,-0.232,0.261,0.237,0.237,0.325,0.325,0.007,0.007,-0.31852,-0.01785,1.98208,-0.75403,-0.60572,-0.60572,0.005,0.30067
-0.507,-0.485,-0.05,0.237,0.231,0.298,0.232,0.018,0.013,-0.30623,-0.01183,1.973595,-0.728115,-0.58871,-0.59233,0,0.2944
-0.324,0.071,0.296,0.242,0.242,0.151,0.151,0.004,0.004,-0.30608,-0.039,1.97536,-0.76471,-0.62864,-0.62864,0.011,0.26708
-0.504,-0.506,0.017,0.236,0.232,0.315,0.2,0.016,0.01,-0.26212,-0.0114,1.97486,-0.72113,-0.58274,-0.58303,0.001,0.25072
-0.489,-0.074,-0.022,0.231,0.225,0.256,0.166,0.004,0.003,-0.34755,-0.00677,1.98202,-0.73285,-0.57998,-0.58307,0.004,0.34078
